timepoint;particle_concentration;treatment;absorption;relative_metabolic_activity
24;0;control_PS;0.0663;99.48334011
24;0;control_PS;0.068;102.1671012
24;0;control_PS;0.0692;104.0615208
24;0;control_PS;0.0686;103.114311
24;0;control_PS;0.0673;101.0620231
24;0;control_PS;0.0657;98.53613031
24;0;control_PS;0.0648;97.11531562
24;0;control_PS;0.067;100.5884182
24;0;control_PS;0.0642;96.16810582
24;0;control_PS;0.0644;96.48384242
24;0;control_PS;0.0674;101.2198914
72;0;control_PS;0.0703;105.1708086
72;0;control_PS;0.0702;105.0132493
72;0;control_PS;0.0716;107.219079
72;0;control_PS;0.07;104.6981308
72;0;control_PS;0.0704;105.3283678
72;0;control_PS;0.0626;93.03874526
72;0;control_PS;0.063;93.66898231
72;0;control_PS;0.0645;96.03237127
72;0;control_PS;0.0651;96.97772685
72;0;control_PS;0.0647;96.34748979
72;0;control_PS;0.0648;96.50504906
72;0;control_PS;NA;NA
144;0;control_PS;0.0603;88.94601542
144;0;control_PS;0.0606;89.40874036
144;0;control_PS;0.0651;96.3496144
144;0;control_PS;0.0636;94.03598972
144;0;control_PS;0.063;93.11053985
144;0;control_PS;0.0642;94.96143959
144;0;control_PS;0.0724;107.6092545
144;0;control_PS;0.0825;123.1876607
144;0;control_PS;0.071;105.4498715
144;0;control_PS;0.0691;102.5192802
144;0;control_PS;0.0653;96.65809769
144;0;control_PS;0.0725;107.7634961
24;0;control_PS_Irgafos;0.129;100.193722
24;0;control_PS_Irgafos;0.1346;104.6134529
24;0;control_PS_Irgafos;0.1369;106.4286996
24;0;control_PS_Irgafos;0.1338;103.9820628
24;0;control_PS_Irgafos;0.1336;103.8242152
24;0;control_PS_Irgafos;0.1312;101.9300448
24;0;control_PS_Irgafos;0.1239;96.16860987
24;0;control_PS_Irgafos;0.1228;95.30044843
24;0;control_PS_Irgafos;0.1208;93.72197309
24;0;control_PS_Irgafos;0.129;100.193722
24;0;control_PS_Irgafos;0.1207;93.64304933
72;0;control_PS_Irgafos;0.1011;93.24335054
72;0;control_PS_Irgafos;0.1086;100.3890433
