id;day;treatment;starting_weight;ending_weight;weight_difference;mortality;number_peaks;total_number_cells;total_number_cells_per_mg;cell_viability;total_number_living_cells;total_number_living_cells_per_mg;eleozytes_count;eleozytes_count_per_mg;eleozytes_percent;amoebozytes_count;amoebozytes_count_per_mg;amoebozytes_percent;intermediate_population_count;intermediate_population_count_per_mg;intermediate_population_percent
1;3;ps;0.448;0.352;-0.096;0;2;200566;569.79;70.2;140797.33;399.99;163735;465.16;81.6;29758;84.54;14.8;6146;17.46;3.1
2;1;ps;0.317;0.337;0.020;0;3;10842;32.17;83.6;9063.91;26.90;6585;19.54;60.7;1952;5.79;18.0;2283;6.77;21.1
3;2;additive;0.329;0.364;0.035;0;2;36376;99.93;82.6;30046.58;82.55;24585;67.54;67.6;5415;14.88;14.9;6322;17.37;17.4
4;1;mock;0.247;0.243;-0.004;0;2;387083;1592.93;77.0;298053.91;1226.56;320312;1318.16;82.8;52666;216.73;13.6;12779;52.59;3.3
5;3;mock;0.413;0.326;-0.087;0;2;188453;578.08;63.5;119667.66;367.08;73021;223.99;38.7;33345;102.29;17.7;80894;248.14;42.9
6;3;ps;0.229;0.260;0.031;0;3;109373;420.67;73.8;80717.27;310.45;67327;258.95;61.6;16441;63.23;15.0;25384;97.63;23.2
7;2;mock;0.231;0.206;-0.025;0;2;88831;431.22;85.0;75506.35;366.54;73311;355.88;82.5;8600;41.75;9.7;6776;32.89;7.6
8;3;mock;0.278;0.231;-0.047;0;2;143833;622.65;71.0;102121.43;442.08;92021;398.36;64.0;15911;68.88;11.1;35559;153.94;24.7
9;1;additive;0.257;0.265;0.008;0;1;105210;397.02;87.8;92374.38;348.58;85973;324.43;81.7;3649;13.77;3.5;13800;52.08;13.1
10;3;ps;0.425;0.344;-0.081;0;1;132797;386.04;83.8;111283.89;323.50;103896;302.02;78.2;4589;13.34;3.5;22117;64.29;16.7
11;2;additive;0.437;0.530;0.093;0;1;166982;315.06;78.5;131080.87;247.32;141104;266.23;84.5;3399;6.41;2.0;21238;40.07;12.7
12;1;additive;0.233;0.276;0.043;0;2;222562;806.38;85.4;190067.95;688.65;201108;728.65;90.4;13165;47.70;5.9;7170;25.98;3.2
13;3;additive;0.326;0.249;-0.077;0;2;153745;617.45;71.7;110235.17;442.71;98229;394.49;63.9;10257;41.19;6.7;45125;181.22;29.4
14;2;mock;0.258;0.245;-0.013;0;2;330831;1350.33;83.3;275582.22;1124.83;304513;1242.91;92.0;17169;70.08;5.2;7478;30.52;2.3
15;1;mock;0.235;0.213;-0.022;0;3;36112;169.54;80.0;28889.60;135.63;26195;122.98;72.5;4190;19.67;11.6;5667;26.61;15.7
16;1;mock;0.274;0.260;-0.014;0;2;96226;370.10;78.0;75056.28;288.68;82071;315.66;85.3;9365;36.02;9.7;4785;18.40;5.0
17;1;ps;0.252;0.259;0.007;0;3;101909;393.47;60.6;61756.85;238.44;38691;149.39;38.0;22385;86.43;22.0;38569;148.92;37.8
18;2;ps;0.403;0.468;0.065;0;2;161379;344.83;80.7;130232.85;278.28;138565;296.08;85.9;17204;36.76;10.7;4699;10.04;2.9
19;3;additive;0.323;0.241;-0.082;0;3;127092;527.35;51.3;65198.20;270.53;59715;247.78;47.0;20166;83.68;15.9;47122;195.53;37.1
20;1;ps;0.284;0.265;-0.019;0;3;94410;356.26;83.3;78643.53;296.77;74609;281.54;79.0;5435;20.51;5.8;12313;46.46;13.0
21;3;mock;0.373;0.306;-0.067;0;1;161368;527.35;89.6;144585.73;472.50;142918;467.05;88.6;1730;5.65;1.1;12854;42.01;8.0
22;2;mock;0.238;0.253;0.015;0;1;133511;527.71;95.6;127623.16;504.44;102874;406.62;77.1;2311;9.13;1.7;26070;103.04;19.5
23;3;additive;0.373;0.411;0.038;0;2;81975;199.45;88.2;72301.95;175.92;62945;153.15;76.8;4609;11.21;5.6;12301;29.93;15.0
24;2;ps;0.246;0.273;0.027;0;2;213097;780.58;82.4;175591.93;643.19;179467;657.39;84.2;18528;67.87;8.7;14891;54.55;7.0
25;2;mock;0.297;0.348;0.051;0;2;182478;524.36;72.0;131384.16;377.54;102984;295.93;56.4;19304;55.47;10.6;60010;172.44;32.9
