treatment;cell_population;percentage
mock;amoebocytes;41.4
mock;amoebocytes;22.2
mock;amoebocytes;26.6
mock;amoebocytes;14.8
mock;amoebocytes;44.9
mock;amoebocytes;26.7
mock;amoebocytes;22.7
mock;amoebocytes;67.8
mock;amoebocytes;38.9
mock;amoebocytes;34.9
mock;amoebocytes;53.4
mock;amoebocytes;45.7
mock;amoebocytes;61.1
mock;amoebocytes;39.7
mock;amoebocytes;45.8
mock;amoebocytes;31.7
mock;eleocytes;8.72
mock;eleocytes;4.88
mock;eleocytes;3.21
mock;eleocytes;3.33
mock;eleocytes;11
mock;eleocytes;1.94
mock;eleocytes;3.38
mock;eleocytes;17.4
mock;eleocytes;8.59
mock;eleocytes;5
mock;eleocytes;10.6
mock;eleocytes;11.1
mock;eleocytes;8.35
mock;eleocytes;5.18
mock;eleocytes;12.3
mock;eleocytes;5.4
PS;amoebocytes;64.8
PS;amoebocytes;49.9
PS;amoebocytes;14.8
PS;amoebocytes;15.2
PS;amoebocytes;19.1
PS;amoebocytes;31.1
PS;amoebocytes;24.9
PS;amoebocytes;33.6
PS;amoebocytes;26.3
PS;amoebocytes;14.6
PS;amoebocytes;26.4
PS;amoebocytes;47.1
PS;amoebocytes;37.2
PS;amoebocytes;41.2
PS;amoebocytes;41.6
PS;amoebocytes;20.6
PS;eleocytes;5.86
PS;eleocytes;9.65
PS;eleocytes;3.33
PS;eleocytes;4.75
PS;eleocytes;3.7
PS;eleocytes;4.65
PS;eleocytes;4.77
PS;eleocytes;3.25
PS;eleocytes;3.07
PS;eleocytes;3.16
PS;eleocytes;7.67
PS;eleocytes;3.69
PS;eleocytes;4.82
PS;eleocytes;8.01
PS;eleocytes;6.86
PS;eleocytes;4.51
PS_irgafos;amoebocytes;47.6
PS_irgafos;amoebocytes;38.7
PS_irgafos;amoebocytes;42.4
PS_irgafos;amoebocytes;16.1
PS_irgafos;amoebocytes;45.3
PS_irgafos;amoebocytes;47.8
PS_irgafos;amoebocytes;24
PS_irgafos;amoebocytes;33.6
PS_irgafos;amoebocytes;18.9
PS_irgafos;amoebocytes;50.8
PS_irgafos;amoebocytes;44.4
PS_irgafos;amoebocytes;57.4
PS_irgafos;amoebocytes;15
PS_irgafos;amoebocytes;34.7
PS_irgafos;amoebocytes;30.6
PS_irgafos;eleocytes;9.48
PS_irgafos;eleocytes;6.66
PS_irgafos;eleocytes;2.9
PS_irgafos;eleocytes;1.59
PS_irgafos;eleocytes;9.69
PS_irgafos;eleocytes;9.07
PS_irgafos;eleocytes;3.9
PS_irgafos;eleocytes;4.57
PS_irgafos;eleocytes;1.15
PS_irgafos;eleocytes;13.8
PS_irgafos;eleocytes;4.57
PS_irgafos;eleocytes;14
PS_irgafos;eleocytes;8.57
PS_irgafos;eleocytes;4.19
PS_irgafos;eleocytes;4.72
