id;treatment;day_1;day_2;day_3;day_4;day_5;day_6;mortality;ingestion;day_1_first_ingestion;day_2_first_ingestion;day_3_first_ingestion;day_4_first_ingestion;day_5_first_ingestion;day_6_first_ingestion
1;fluorescent_MP;0;0;1;1;1;0;0;yes;0;0;1;0;0;0
2;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
3;fluorescent_MP;0;0;1;1;1;0;0;yes;0;0;1;0;0;0
4;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
5;fluorescent_MP;0;0;1;1;1;1;0;yes;0;0;1;0;0;0
6;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
7;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
8;fluorescent_MP;0;0;0;1;1;0;0;yes;0;0;0;1;0;0
9;fluorescent_MP;0;1;0;1;1;0;0;yes;0;1;0;0;0;0
10;fluorescent_MP;0;1;1;0;1;0;0;yes;0;1;0;0;0;0
11;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
12;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
13;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
14;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
15;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
16;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
17;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
18;fluorescent_MP;0;0;0;1;0;0;0;yes;0;0;0;1;0;0
19;fluorescent_MP;0;0;1;1;1;1;0;yes;0;0;1;0;0;0
20;fluorescent_MP;0;0;1;1;1;0;0;yes;0;0;1;0;0;0
21;fluorescent_MP;0;0;0;1;1;0;0;yes;0;0;0;1;0;0
22;fluorescent_MP;0;0;1;1;0;0;0;yes;0;0;1;0;0;0
23;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
24;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
25;fluorescent_MP;0;0;0;1;1;1;0;yes;0;0;0;1;0;0
26;fluorescent_MP;0;1;1;1;0;0;0;yes;0;1;0;0;0;0
27;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
28;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
29;fluorescent_MP;0;1;0;0;1;0;0;yes;0;1;0;0;0;0
30;fluorescent_MP;0;0;1;1;1;0;0;yes;0;0;1;0;0;0
31;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
32;fluorescent_MP;0;1;0;1;1;0;0;yes;0;1;0;0;0;0
33;fluorescent_MP;0;0;1;1;1;1;0;yes;0;0;1;0;0;0
34;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
35;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
36;fluorescent_MP;0;0;1;0;0;0;0;yes;0;0;1;0;0;0
37;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
38;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
39;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
40;fluorescent_MP;0;0;0;1;1;0;0;yes;0;0;0;1;0;0
41;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
42;fluorescent_MP;0;0;1;1;1;1;0;yes;0;0;1;0;0;0
43;fluorescent_MP;0;1;1;1;1;0;0;yes;0;1;0;0;0;0
44;fluorescent_MP;0;1;0;1;1;0;0;yes;0;1;0;0;0;0
45;fluorescent_MP;0;0;1;0;0;0;0;yes;0;0;1;0;0;0
46;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
47;fluorescent_MP;0;0;1;0;1;0;0;yes;0;0;1;0;0;0
48;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
49;fluorescent_MP;0;1;1;1;0;1;0;yes;0;1;0;0;0;0
50;fluorescent_MP;0;0;1;1;1;1;0;yes;0;0;1;0;0;0
51;fluorescent_MP;0;0;1;1;0;0;0;yes;0;0;1;0;0;0
52;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
53;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
54;fluorescent_MP;0;1;1;0;0;0;0;yes;0;1;0;0;0;0
55;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
56;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
57;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
58;fluorescent_MP;0;0;0;1;1;1;0;yes;0;0;0;1;0;0
59;fluorescent_MP;0;0;1;0;1;1;0;yes;0;0;1;0;0;0
60;control;0;0;0;0;0;0;0;no;0;0;0;0;0;0
